id_str,created_at,from_user,text,CLEAN,Hashtags,TARGET
519040620539961000,Mon Oct 06 08:25:01 +0000 2014,ClaireArielle,RT @sebdaniel: #RencNum Cette 1re journée commence par la présentation de la politique numérique du @centrepompidou http://t.co/wwqXFPaBxp,RT @sebdaniel  #RencNum Cette 1re journée commence par la présentation de la politique numérique du @centrepompidou http   t co wwqXFPaBxp, #RencNum , @sebdaniel @centrepompidou 
519040616249164000,Mon Oct 06 08:25:00 +0000 2014,Chabadie,Les RSN servent également à mettre en avant les contenus du site internet du @centrepompidou #RencNum,Les RSN servent également à mettre en avant les contenus du site internet du @centrepompidou #RencNum, #RencNum, @centrepompidou 
519040576462025000,Mon Oct 06 08:24:51 +0000 2014,Lilmount,"RT @sebdaniel: #RencNum @gonzagauthier ""Les RSN servent à diffuser de l'info mais aussi en recueillir / prendre le poux comme on le ferait …",RT @sebdaniel  #RencNum @gonzagauthier  Les RSN servent à diffuser de l info mais aussi en recueillir   prendre le poux comme on le ferait …, #RencNum , @sebdaniel @gonzagauthier 
519040569759519000,Mon Oct 06 08:24:49 +0000 2014,pazottes,"RT @Cleliadh: #RencNum ""notre rôle de médiation est de créer des outils, qui suscitent de l'échange"" @pazottes",RT @Cleliadh  #RencNum  notre rôle de médiation est de créer des outils  qui suscitent de l échange  @pazottes, #RencNum , @Cleliadh @pazottes
519040525950013000,Mon Oct 06 08:24:39 +0000 2014,Stylegenre,"RT @sebdaniel: #RencNum @gonzagauthier ""La mission des musées c'est aussi de prescrire des usages numériques""",RT @sebdaniel  #RencNum @gonzagauthier  La mission des musées c est aussi de prescrire des usages numériques , #RencNum , @sebdaniel @gonzagauthier 
519040515233554000,Mon Oct 06 08:24:36 +0000 2014,lmadelon,"Transversalité des equipes, innovation et anticipation des usages : les clés du numérique pour @gonzagauthier #RencNum",Transversalité des equipes  innovation et anticipation des usages   les clés du numérique pour @gonzagauthier #RencNum, #RencNum, @gonzagauthier 
519040502940062000,Mon Oct 06 08:24:33 +0000 2014,_omr,"RT @anachasse: Aux #rencnum, @gonzagauthier rappelle que le numérique est traité en transversal à Pompidou. Moyen pour l'institution d'inno…",RT @anachasse  Aux #rencnum  @gonzagauthier rappelle que le numérique est traité en transversal à Pompidou  Moyen pour l institution d inno…, #rencnum , @anachasse @gonzagauthier 
519040463421321000,Mon Oct 06 08:24:24 +0000 2014,pazottes,"RT @Cleliadh: #RencNum en termes de pédagogie le numérique est important pour le @centrepompidou Drone, 3D, réalité augmentée ... @pazottes",RT @Cleliadh  #RencNum en termes de pédagogie le numérique est important pour le @centrepompidou Drone  3D  réalité augmentée     @pazottes, #RencNum , @Cleliadh @centrepompidou @pazottes
519040455670247000,Mon Oct 06 08:24:22 +0000 2014,_omr,RT @TrendsParis: #rencnum est désormais une tendance dans #Paris http://t.co/26RNRXnqdp,RT @TrendsParis  #rencnum est désormais une tendance dans #Paris http   t co 26RNRXnqdp, #rencnum #Paris , @TrendsParis 
519040407913890000,Mon Oct 06 08:24:11 +0000 2014,bevellin,"RT @seeksanusername: Selon @gonzagauthier, le musée doit être également prescripteur des usages numériques #RencNum",RT @seeksanusername  Selon @gonzagauthier  le musée doit être également prescripteur des usages numériques #RencNum, #RencNum, @seeksanusername @gonzagauthier 
519040381980144000,Mon Oct 06 08:24:05 +0000 2014,TrendsParis,#rencnum est désormais une tendance dans #Paris http://t.co/26RNRXnqdp,#rencnum est désormais une tendance dans #Paris http   t co 26RNRXnqdp,#rencnum #Paris , 
