id_str,from_user,time,text,Target,hashtags
519533622617845760,DarioMolaro,07/10/2014 18:04:02,"https://t.co/XKjHZnQ07a
#EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag", ," #EbolaEnFranceLe24Octobre
#RencNum
#showeb2rentree2014
#motscroisés
#LeMag"
519464256602124288,heloiselecomte,07/10/2014 13:28:24,#rencnum #tmnlab t. Leonardi : constat d'échec de ce projet de covoiturage mais on peu essayer d'en faire autre chose ensemble, ,#rencnum #tmnlab 
519464221470629888,RealTiensTiens,07/10/2014 13:28:16,"Rt @antoninGS: Cet aprèm' aux #RencNum on ""voyage par rebonds au Moyen-Age"" avec @comcomclaire - @museecluny et ça c'est chouette !""", @antoninGS @comcomclaire @museecluny , #RencNum 
519464201358938112,dasmtweets,07/10/2014 13:28:11,RT @RealTiensTiens: Très fière ! Avec @antoninGS @emarais de @museecluny #RencNum #MuzeoNum merci @comcomclaire http://t.co/AayJleYgLB, @RealTiensTiens @antoninGS @emarais @museecluny @comcomclaire , #RencNum #MuzeoNum 
519464191053557760,Comculturelle,07/10/2014 13:28:09,RT @V_Septembre: Ce qu'on retient pour le moment des #RencNum c'est la difficulté à trouver à l'interne des compétences sur les projets num…, @V_Septembre , #RencNum 
519464176293806080,didmichel,07/10/2014 13:28:05,@remiforall combien de temps le chantier de le refonte et du projet? #rencnum,@remiforall , #rencnum
519464158241513474,Museocom,07/10/2014 13:28:01,RT @Comculturelle: #RencNum #muzeonum @comcomclaire  nous parle du site tout neuf de @museecluny avec des contributeurs extérieurs http://t…, @Comculturelle @comcomclaire @museecluny , #RencNum #muzeonum 
519464147155943424,cecileredrum,07/10/2014 13:27:58,RT @V_Septembre: Ce qu'on retient pour le moment des #RencNum c'est la difficulté à trouver à l'interne des compétences sur les projets num…, @V_Septembre , #RencNum 
519464138448576512,JulieArtGeek,07/10/2014 13:27:56,RT @Loic_Laborde: #RencNum #Muzeonum et voilà les gentils contributeurs du musée de Cluny http://t.co/uDRKDPg4Ig, @Loic_Laborde , #RencNum #Muzeonum 
519464124057919488,Chabadie,07/10/2014 13:27:53,"Contributeurs : étudiants, passionnés, pers. sensibles à la médiation + que com, pas tous faliliers des outils numériques #RencNum #Muzeonum", , #RencNum #Muzeonum
519464075416567808,Loic_Laborde,07/10/2014 13:27:41,#RencNum #Muzeonum et voilà les gentils contributeurs du musée de Cluny http://t.co/uDRKDPg4Ig, ,#RencNum #Muzeonum 
519464060954607616,laurentalbaret,07/10/2014 13:27:37,[#musées] @comcomclaire revient sur la création du site @museecluny : musee-moyenage.fr #RencNum #muzeonum #MoyenAge http://t.co/oR7lUl1fZR, @comcomclaire @museecluny , #musées #RencNum #muzeonum #MoyenAge 
519464042155757568,AMCSTI,07/10/2014 13:27:33,#RencNum #Muzeonum Des contributeurs extérieurs impliqués dans la création de contenus http://t.co/Rax3Td3Xyx, ,#RencNum #Muzeonum 
519464020471209986,chrystelou,07/10/2014 13:27:28,RT @heloiselecomte: #rencnum #tmnlab le site de covoiturage de l'Opéra de Lyon est maintenant hébergé sur le site du grand Lyon et maintenu…, @heloiselecomte , #rencnum #tmnlab 
519463968113704960,mrgx_a,07/10/2014 13:27:15,RT @V_Septembre: Ce qu'on retient pour le moment des #RencNum c'est la difficulté à trouver à l'interne des compétences sur les projets num…, @V_Septembre , #RencNum 
519463965488078848,sebdaniel,07/10/2014 13:27:15,"#RencNum #TMNlab T.Leonardi ""Le grand Lyon va héberger la plateforme encore 2 ans. Nous nous réunissons 2 fois / an.""", ,#RencNum #TMNlab 
519463964628246529,NicoGlayzon,07/10/2014 13:27:15,"Bon, 2e constat d'échec avec la plate-forme covoiturage de l#OperadeLyon, après #Groundz... Hauts les cœurs ! 
#RencNum #TMNlab", , #OperadeLyon #Groundz #RencNum #TMNlab
519463957871230976,chrystelou,07/10/2014 13:27:13,"RT @heloiselecomte: #rencnum #tmnlab Thierry leonardi pour l'Opéra de Lyon : projet de covoiturage, a mis autour de la table le grand Lyon,…", @heloiselecomte , #rencnum #tmnlab 
519463957007204352,V_Septembre,07/10/2014 13:27:13,D'où recours à des prestataires extérieurs pas forcément sensibilisés au monde des musées. Et un dialogue souvent délicat. #RencNum, , #RencNum
519463956046680065,TMNlab,07/10/2014 13:27:12,La  plateforme Covoituragepoursortir.fr #operadelyon encore en ligne pour 2 ans.  #RencNum #TMNlab, , #operadelyon #RencNum #TMNlab
519463943522508800,MuzeoNum,07/10/2014 13:27:09,Qui sont les contributeurs du site @museecluny ? #Muzeonum #RencNum http://t.co/7WdkAGvulZ, @museecluny , #Muzeonum #RencNum 
519463911222181888,dasmtweets,07/10/2014 13:27:02,RT @V_Septembre: Ce qu'on retient pour le moment des #RencNum c'est la difficulté à trouver à l'interne des compétences sur les projets num…, @V_Septembre , #RencNum 
519463909716414464,chrystelou,07/10/2014 13:27:01,"RT @sebdaniel: #RencNum #TMNlab T.Leonardi ""Nous avons relancé un nv grpe de travail un peu plus tard avec ~15 structures et cette fois ci …", @sebdaniel , #RencNum #TMNlab 
519463885494288384,chrystelou,07/10/2014 13:26:56,RT @TMNlab: #operadelyon assumer sa place dans un monde solidaire : covoiturage. 13 structures partenaires.#TMNlab #RencNum, @TMNlab , #operadelyon #TMNlab #RencNum
519463869270732800,Benjiskhan,07/10/2014 13:26:52,RT @TMNlab: #operadelyon assumer sa place dans un monde solidaire : covoiturage. 13 structures partenaires.#TMNlab #RencNum, @TMNlab , #operadelyon #TMNlab #RencNum
519463863214170112,RealTiensTiens,07/10/2014 13:26:50,Très fière ! Avec @antoninGS @emarais de @museecluny #RencNum #MuzeoNum merci @comcomclaire http://t.co/AayJleYgLB, @antoninGS @emarais @museecluny @comcomclaire , #RencNum #MuzeoNum 
519463859510583296,celinesalvetat,07/10/2014 13:26:49,Des contributeurs extérieurs se sont impliqués dans la création des contenus @museecluny @comcomclaire #RencNum #muzeonum, @museecluny @comcomclaire , #RencNum #muzeonum
519463857014984704,chrystelou,07/10/2014 13:26:49,RT @dadysdesign: #RencNum #TMNlab @LeVolcan76 de Oscar Niemeyer se reveille grâce au projet très intéressant de http://t.co/g7FPwiq9Mf http…, @dadysdesign @LeVolcan76 , #RencNum #TMNlab 
519463852917129217,Comculturelle,07/10/2014 13:26:48,#RencNum #muzeonum @comcomclaire  nous parle du site tout neuf de @museecluny avec des contributeurs extérieurs http://t.co/2HYAnJQqoI, @comcomclaire @museecluny ,#RencNum #muzeonum 
519463849754640384,Chabadie,07/10/2014 13:26:47,Prestataires ext. pas toujours à l'aise avec le monde médiéval =&gt; choix de faire appel à des contributeurs #RencNum #Muzeonum, , #RencNum #Muzeonum
519463848823508992,heloiselecomte,07/10/2014 13:26:47,#rencnum #tmnlab le site de covoiturage de l'Opéra de Lyon est maintenant hébergé sur le site du grand Lyon et maintenu par eux, ,#rencnum #tmnlab 
519463840904663041,dasmtweets,07/10/2014 13:26:45,"RT @antoninGS: Cet aprèm' aux #RencNum on ""voyage par rebonds au Moyen-Age"" avec @comcomclaire - @museecluny et ça c'est chouette ! http://…", @antoninGS @comcomclaire @museecluny , #RencNum 
519463829127069696,mrgx_a,07/10/2014 13:26:42,Le @museecluny a fait appel à plusieurs contributeurs ext pour la refonte de leur site web : gros travail éditorial #rencnum #Muzeonum, @museecluny , #rencnum #Muzeonum
519463789197266944,chrystelou,07/10/2014 13:26:33,"RT @sebdaniel: #RencNum #TMNlab T.Leonardi ""La plateforme est désormais en ligne mais suscite moins d'engouement que prévu""", @sebdaniel , #RencNum #TMNlab 
519463779772661760,V_Septembre,07/10/2014 13:26:30,Ce qu'on retient pour le moment des #RencNum c'est la difficulté à trouver à l'interne des compétences sur les projets numériques., , #RencNum 
519463718275796992,antoninGS,07/10/2014 13:26:16,"Cet aprèm' aux #RencNum on ""voyage par rebonds au Moyen-Age"" avec @comcomclaire - @museecluny et ça c'est chouette ! http://t.co/I5hRtr4jtY", @comcomclaire @museecluny , #RencNum 
519463683786031104,sebdaniel,07/10/2014 13:26:08,"#RencNum #TMNlab T.Leonardi ""La plateforme est désormais en ligne mais suscite moins d'engouement que prévu""", ,#RencNum #TMNlab 
519463682129289216,dadysdesign,07/10/2014 13:26:07,#RencNum #TMNlab @LeVolcan76 de Oscar Niemeyer se reveille grâce au projet très intéressant de http://t.co/g7FPwiq9Mf http://t.co/clPqUKS7ni, @LeVolcan76 ,#RencNum #TMNlab 
